AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,LONGITUDE,LATITUDE,POSTAL_CODE
Agency L 70,920 Bloor St,Etobicoke,416-792-5996,agency.l.70@example.com,www.agency-l-70.org,All ages,Support groups,-79.38146046906358,43.65162818059895,S8X 1S9
Agency O 16,57 Main St,Scarborough,416-913-1290,agency.o.16@example.com,www.agency-o-16.org,All ages,Rehabilitation,-79.38354780884741,43.67577234977223,T1O 9F4
Agency J 24,457 Queen St,Etobicoke,416-635-8876,agency.j.24@example.com,www.agency-j-24.org,Youth,Crisis intervention,-79.37339176434851,43.64583176821847,G4X 7I9
Agency M 32,617 Broadway,Midtown,416-927-5924,agency.m.32@example.com,www.agency-m-32.org,All ages,Support groups,-79.38181407789678,43.65462436401342,K8W 5X9
Agency G 21,357 Broadway,Scarborough,416-506-3776,agency.g.21@example.com,www.agency-g-21.org,Adults,Rehabilitation,-79.39416169506259,43.65152863299082,O3Y 7P5
Agency I 55,279 Queen St,Etobicoke,416-328-8728,agency.i.55@example.com,www.agency-i-55.org,Seniors,Support groups,-79.39603708807678,43.65565213381325,I1N 5M1
Agency I 75,270 Main St,Midtown,416-323-2364,agency.i.75@example.com,www.agency-i-75.org,Adults,Rehabilitation,-79.38662519090894,43.67032618860018,Z6L 2I2
Agency J 36,878 Queen St,Downtown,416-884-8487,agency.j.36@example.com,www.agency-j-36.org,Seniors,Day treatment,-79.39036398707724,43.64557123748993,N3Q 8G3
Agency W 83,646 Bloor St,Scarborough,416-573-1503,agency.w.83@example.com,www.agency-w-83.org,Youth,Counseling,-79.39559345266997,43.651180628583425,X5H 7S5
Agency U 89,347 Bloor St,Etobicoke,416-798-4147,agency.u.89@example.com,www.agency-u-89.org,All ages,Day treatment,-79.38978508601758,43.650156955352465,S1A 8X8
Agency G 39,129 King St,Downtown,416-540-1785,agency.g.39@example.com,www.agency-g-39.org,Adults,Rehabilitation,-79.40146313504782,43.64447346797956,K6V 9J1
Agency U 54,218 Bloor St,Downtown,416-270-2795,agency.u.54@example.com,www.agency-u-54.org,Seniors,Day treatment,-79.38738603923115,43.63109073892028,V5B 3R7
Agency F 90,618 Bloor St,Etobicoke,416-122-8273,agency.f.90@example.com,www.agency-f-90.org,Youth,Counseling,-79.38686204011076,43.65150556999121,A1E 6X5
Agency Y 9,881 King St,Etobicoke,416-317-1854,agency.y.9@example.com,www.agency-y-9.org,All ages,Counseling,-79.38614001113442,43.63121072786138,I8Z 7X7
Agency B 71,698 Main St,North York,416-583-9640,agency.b.71@example.com,www.agency-b-71.org,Adults,Counseling,-79.38343122632945,43.65114048438015,I9M 3H9
Agency E 98,337 King St,Downtown,416-400-8031,agency.e.98@example.com,www.agency-e-98.org,Seniors,Crisis intervention,-79.37957600615614,43.6454711015593,W5S 8P2
Agency H 48,797 Queen St,Etobicoke,416-747-4127,agency.h.48@example.com,www.agency-h-48.org,Adults,Crisis intervention,-79.38786714382746,43.658294092925324,X5Z 1O6
Agency L 77,26 Broadway,North York,416-178-1617,agency.l.77@example.com,www.agency-l-77.org,Youth,Rehabilitation,-79.3802148638976,43.65103349289268,Q8T 9R3
Agency M 83,539 Bloor St,Scarborough,416-610-5302,agency.m.83@example.com,www.agency-m-83.org,Seniors,Counseling,-79.39272708146838,43.64645557407667,J4X 6Q3
Agency R 56,981 Main St,Midtown,416-606-1435,agency.r.56@example.com,www.agency-r-56.org,Seniors,Crisis intervention,-79.37652459421348,43.64587372196444,H4V 9Y8
Agency A 39,519 Queen St,North York,416-263-4048,agency.a.39@example.com,www.agency-a-39.org,All ages,Counseling,-79.38232761460723,43.65260670292189,R4I 3P7
Agency Y 68,956 King St,Etobicoke,416-336-5028,agency.y.68@example.com,www.agency-y-68.org,All ages,Support groups,-79.38429209447558,43.66070526123885,X5P 3E2
Agency Y 1,757 Main St,Etobicoke,416-678-1600,agency.y.1@example.com,www.agency-y-1.org,Seniors,Support groups,-79.38997492197198,43.654529321255126,F4U 6W5
Agency F 40,666 Broadway,Downtown,416-906-2315,agency.f.40@example.com,www.agency-f-40.org,Youth,Counseling,-79.36621177343582,43.64729221347447,Y6A 9C6
Agency U 30,553 King St,Scarborough,416-521-9578,agency.u.30@example.com,www.agency-u-30.org,All ages,Rehabilitation,-79.37934168997805,43.65132817014742,R4Q 9F3
Agency O 94,724 King St,Scarborough,416-592-4334,agency.o.94@example.com,www.agency-o-94.org,Seniors,Support groups,-79.38073242971207,43.67298184300632,G1R 3X1
Agency I 89,390 Main St,Scarborough,416-829-4139,agency.i.89@example.com,www.agency-i-89.org,Adults,Day treatment,-79.40906931756496,43.6396985388411,G8J 5Y9
Agency O 16,498 Broadway,North York,416-895-3791,agency.o.16@example.com,www.agency-o-16.org,Adults,Crisis intervention,-79.40283103020289,43.650554793142994,L5I 7S8
Agency Z 88,222 Main St,Midtown,416-308-7708,agency.z.88@example.com,www.agency-z-88.org,Adults,Rehabilitation,-79.38381304828299,43.6484810115344,I5K 2K9
Agency P 54,671 Broadway,North York,416-698-6476,agency.p.54@example.com,www.agency-p-54.org,Seniors,Crisis intervention,-79.37424747462437,43.647508138478095,P3A 6K1
Agency T 75,861 Broadway,Midtown,416-792-1741,agency.t.75@example.com,www.agency-t-75.org,Youth,Crisis intervention,-79.38348058771481,43.676527194429354,C1B 8L8
Agency F 48,657 Broadway,Downtown,416-457-1835,agency.f.48@example.com,www.agency-f-48.org,Youth,Counseling,-79.3931974701665,43.64830955659635,C2K 5A8
Agency K 20,960 Bloor St,Etobicoke,416-749-5618,agency.k.20@example.com,www.agency-k-20.org,Adults,Counseling,-79.38479603960603,43.64550875729192,U3Y 3H8
Agency H 67,421 Queen St,Midtown,416-976-5681,agency.h.67@example.com,www.agency-h-67.org,Adults,Support groups,-79.38847693647948,43.64353800955027,N4Q 5G8
Agency V 93,57 Queen St,Midtown,416-457-1255,agency.v.93@example.com,www.agency-v-93.org,All ages,Day treatment,-79.38103843543863,43.66588050069755,B4N 4O8
Agency V 36,660 Bloor St,Scarborough,416-140-4420,agency.v.36@example.com,www.agency-v-36.org,Seniors,Day treatment,-79.39238954980499,43.664233323027915,D4R 4E8
Agency G 52,163 Queen St,North York,416-228-8638,agency.g.52@example.com,www.agency-g-52.org,Adults,Counseling,-79.3922059465473,43.633976950178514,Z1N 7C2
Agency P 22,985 Main St,Downtown,416-947-5996,agency.p.22@example.com,www.agency-p-22.org,Adults,Rehabilitation,-79.38031391209113,43.649579579287106,A9T 1G2
Agency Q 49,238 Broadway,Scarborough,416-985-5183,agency.q.49@example.com,www.agency-q-49.org,Youth,Crisis intervention,-79.37391115205955,43.65982247194824,Z1H 2M2
Agency V 42,673 Main St,Scarborough,416-549-6976,agency.v.42@example.com,www.agency-v-42.org,Seniors,Support groups,-79.3664695278796,43.65153457007923,U5X 5T3
Agency R 59,578 Broadway,Midtown,416-331-3058,agency.r.59@example.com,www.agency-r-59.org,Youth,Support groups,-79.38034485576121,43.65315024879702,J4E 3I2
Agency Q 84,516 King St,North York,416-433-9777,agency.q.84@example.com,www.agency-q-84.org,Seniors,Crisis intervention,-79.38692582440942,43.63939113209626,X1I 7U9
Agency B 11,330 Broadway,Downtown,416-495-5558,agency.b.11@example.com,www.agency-b-11.org,Seniors,Day treatment,-79.39753882756042,43.64063473118455,U7J 8L9
Agency D 55,225 King St,Etobicoke,416-829-4826,agency.d.55@example.com,www.agency-d-55.org,Seniors,Rehabilitation,-79.39204467920104,43.656452457209085,F9Q 5N7
Agency M 8,389 Main St,Etobicoke,416-939-3747,agency.m.8@example.com,www.agency-m-8.org,Seniors,Counseling,-79.37195817059002,43.65042999468483,Y5T 7Y5
Agency E 46,117 Queen St,Downtown,416-738-8454,agency.e.46@example.com,www.agency-e-46.org,Adults,Rehabilitation,-79.3904280579662,43.649309889957884,C9G 3G6
Agency V 85,537 Broadway,Scarborough,416-140-7985,agency.v.85@example.com,www.agency-v-85.org,Adults,Support groups,-79.37857335042908,43.665303939071805,L6V 6I2
Agency S 66,648 King St,Etobicoke,416-363-7423,agency.s.66@example.com,www.agency-s-66.org,All ages,Day treatment,-79.38632553529534,43.65554916591514,A9L 8Y1
Agency Y 77,55 Bloor St,Etobicoke,416-796-4583,agency.y.77@example.com,www.agency-y-77.org,All ages,Day treatment,-79.3747174550288,43.63885321538937,Y3K 6W2
Agency T 46,217 Bloor St,Downtown,416-300-9994,agency.t.46@example.com,www.agency-t-46.org,All ages,Rehabilitation,-79.38405319576516,43.64398277871106,L9R 8D2
Agency V 70,597 King St,North York,416-151-3289,agency.v.70@example.com,www.agency-v-70.org,Youth,Day treatment,-79.39035345095272,43.64777904054018,M1L 6S5
Agency Y 72,557 Broadway,Scarborough,416-324-9969,agency.y.72@example.com,www.agency-y-72.org,Youth,Counseling,-79.39056696067661,43.64168787417257,R3G 3I8
Agency N 44,658 Bloor St,Etobicoke,416-166-2351,agency.n.44@example.com,www.agency-n-44.org,All ages,Day treatment,-79.38327222638992,43.662375574246475,A6C 7B3
Agency Y 32,682 Queen St,Midtown,416-779-7315,agency.y.32@example.com,www.agency-y-32.org,All ages,Rehabilitation,-79.37619522129542,43.63633342738319,X2N 1X2
Agency W 36,415 Broadway,Scarborough,416-869-2702,agency.w.36@example.com,www.agency-w-36.org,All ages,Day treatment,-79.366936076549507,43.64184147225535,I1R 6Q8
Agency C 45,134 Main St,Midtown,416-676-9070,agency.c.45@example.com,www.agency-c-45.org,Seniors,Day treatment,-79.36695339103227,43.652436413195524,B5P 5L9
Agency H 14,711 Queen St,Scarborough,416-556-8845,agency.h.14@example.com,www.agency-h-14.org,Adults,Day treatment,-79.36901314701358,43.65934001364943,C1Q 2N9
Agency P 16,957 Main St,Scarborough,416-640-2552,agency.p.16@example.com,www.agency-p-16.org,Youth,Support groups,-79.39310493419482,43.67597106489262,V6F 7J7
Agency L 87,873 Queen St,Downtown,416-119-7089,agency.l.87@example.com,www.agency-l-87.org,Adults,Rehabilitation,-79.37706631754797,43.650492318607874,A6F 3G2
Agency Y 33,688 Bloor St,North York,416-305-7017,agency.y.33@example.com,www.agency-y-33.org,Adults,Day treatment,-79.3880882623095,43.64922457512742,W8D 3P5
Agency N 40,913 Queen St,Etobicoke,416-223-4542,agency.n.40@example.com,www.agency-n-40.org,All ages,Day treatment,-79.38742587281345,43.645782914177246,R1U 4B9
Agency C 40,757 Broadway,Etobicoke,416-691-4950,agency.c.40@example.com,www.agency-c-40.org,Adults,Rehabilitation,-79.38116754323755,43.633404468969516,E6E 1J3
Agency N 10,941 Broadway,North York,416-874-3881,agency.n.10@example.com,www.agency-n-10.org,All ages,Rehabilitation,-79.3682477000929,43.660410988195906,J1N 6S9
Agency G 89,988 Queen St,Scarborough,416-839-9005,agency.g.89@example.com,www.agency-g-89.org,Youth,Support groups,-79.39605285152813,43.663600078709045,K6J 5B5
Agency C 72,447 King St,Midtown,416-144-5014,agency.c.72@example.com,www.agency-c-72.org,Seniors,Support groups,-79.3617348958691,43.64430578360476,S6H 2U8
Agency W 82,821 Bloor St,Etobicoke,416-431-1534,agency.w.82@example.com,www.agency-w-82.org,Seniors,Rehabilitation,-79.38482645540967,43.66564497461511,P5V 7H2
Agency V 9,104 Broadway,North York,416-380-9078,agency.v.9@example.com,www.agency-v-9.org,Adults,Counseling,-79.38843382144042,43.65330259384855,O9J 1A6
Agency Z 7,821 King St,Midtown,416-190-5551,agency.z.7@example.com,www.agency-z-7.org,Adults,Rehabilitation,-79.37476553133897,43.65717176349172,G3W 5A8
