AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,ELIGIBILITY,DESCRIPTION_SERVICE,POSTAL_CODE
Humber River Hospital,"1235 Wilson Ave, Toronto, ON     M3M 0B2","Downsview-Roding-Cfb, 26",416-242-1000,NA,"Acute care hospital * medical and surgical inpatient services * diagnostic services * breast screening * breastfeeding clinic * cancer detection and treatment * cardiac care * diabetes education centre * dialysis * gastroenterology * geriatric services * gynecology * neurology* obstetrics * ophthalmology * oral and dental surgery * orthopedics * otolaryngology * palliative care * pediatrics * plastic surgery * respiratory care * speech language pathology * urology<br>
<br>
<b>Mental Health and Addictions Program</b> -- crisis, inpatient and outpatient services for children, adolescents and adults * concurrent disorders * day treatment * early intervention in psychosis * child and adolescent transition day program * Bridgeway Chemical Dependency Program * withdrawal management",M3M 0B2
Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-1153,"<b>Mental Health Program</b> -- youth 12-18 years with mental health concerns who are experiencing difficulties at home, school or in the community * <b>Dual Diagnosis Service</b> -- youth 12-18 years with a developmental disability and complex mental health needs, and adults 16 years and older with a developmental disability, with or without accompanying complex mental health needs * <b>reachOUT Newcomer Network</b> -- youth with disabilities and LGBTQ youth 13-24 years, who are permanent residents or government assisted refugees, and their families","Flexible, community-based mental health services * assessment of strengths and needs * individual, family, group and short term counselling * crisis support * substance use treatment * sexual assault harm reduction treatment for offenders (limited capacity) * case management * school-based prevention and consultation * skill development * after school groups * summer work experience opportunities * preparation for independence * youth and family involved in service planning and decisions * consultation for parents, schools, agencies, communities<br><br>

<b>Dual Diagnosis Service (Mental Health/Development Disability)</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse * day/school support services * respite/residential care<br><br>

<b>Helping Youth Towards Solutions</b> -- harm reduction approach * individual and group counselling * family education and support * outreach to secondary schools * day school support service, in collaboration with Toronto District School Board<br><br>

<b>Mental Health Program</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse<br><br>

<b>reachOUT</b> -- counselling and support for all youth 12-18 years, and their families * drop-in support groups, outreach, advocacy, workshops, social and recreation activities for LGBTQ youth * <b>Compass</b> -- social group for LGBTQ youth 13-24 years, with or labelled with intellectual disabilities, includes workshops and recreational activities * <b>reachOUT Newcomer Network</b> -- settlement services * community capacity building<br><br>

<b>Transitional Support Services</b> -- day program for adults with developmental disabilities includes life skills and self care, household management, budgeting skills  * residential program -- supported living, 24 hour staff support * capacity 5 * maximum stay up to 2 years<br><br>

Services offered at various locations",M3J 2E2
Jean Tweed Centre,"215 Evans Ave, Toronto, ON     M8Z 1J5","Mimico, 17",416-255-7359,"Women 16 years and older who have problems with alcohol, other drugs or problem gambling, and their families * all services available to women on methadone * child development centre -- children 6 years and under","Intensive 3 week residential and day treatment program, or individual counselling program over an extended period * pretreatment services and continuing care for 2 years * counselling services for women who have experienced trauma and who have completed the general program * family education and counselling * child care and child development services available * program for women with concurrent disorders currently in the criminal justice system<br><br>

<b>Pathways to Healthy Families</b> -- holistic, culturally responsive outreach program for pregnant or parenting women * service coordination and case management * access to support and counselling (individual, family, group), and child development services<br><br>

Also supportive housing and outreach services for women with mental health and substance abuse problems * all programs trauma informed",M8Z 1J5
Hospital For Sick Children,"555 University Ave, Toronto, ON     M5G 1X8","Bay Street Corridor, 76",416-813-5804,Children and youth 18 years and under,"<b>Eating Disorders Program</b> -- diagnosis and treatment * inpatient and outpatient programs<br><br>
<b>Substance Abuse Day Treatment Program</b> -- harm reduction approach * individual and group treatment * academic program<br><br>
<b>Young Families Program</b> -- for teen parents and their children * well baby care * nutrition and feeding * parenting education",M5G 1X8
Breakaway Addiction Services,"21 Strickland Ave, Toronto, ON     M6K 3E6","Roncesvalles, 86",416-234-1942,"Varies for individual programs, see below","Comprehensive, community-based, individualized addiction treatment and harm reduction services including street and community outreach<br><br>

<b>Clear Directions Day Treatment Program</b> -- for youth 14-18 years with addictions and mental health problems * school program including academic, therapeutic, and substance use support * in collaboration with George Hull Centre for Children and Families and Toronto District School Board<br><br>

<b>Family and Youth Initiatives</b> -- outpatient treatment for youth 12-24 years with substance abuse related problems, and their families * parent support groups * adult information evenings * groups for youth mandated clients * consultation and supportive assistance to families and significant others when users are not in treatment * community professionals and agency staff -- consultation and training in early identification and management of substance abuse * community education and prevention programs * outreach in some schools<br><br>

<b>Harm Reduction Outreach</b> -- for drug users 12 years and older who are street involved or in conflict with the law * street outreach including counselling, needle exchange, harm reduction supplies, free condoms * outreach to Vanier Centre for Women<br><br>

<b>Opiate Addiction Treatment Services</b> -- outpatient, harm reduction treatment including pharmacotherapies such as methadone, and individual and group counselling * intake and assessment * case management * treatment planning and review * referral and advocacy for housing, employment, social assistance * social and recreation programs<br><br>

<b>Supportive Housing</b> -- for individuals 16 years and older, who have problematic substance use and require stable housing * Housing First Model of supportive housing * engagement in addiction treatment or abstinence not required * in partnership with Regeneration Community Services (see separate entry) <br><br>
 
<b>Toronto Opiate Support Team (TOST)</b> -- for individuals who use opiates or replacement medications, and have little or no access to supportive services (no age restrictions) * case management, counselling and advocacy * flexible ongoing or short term support * training for community service providers * in collaboration with other community agencies * available in various community locations",M6K 3E6
Overeaters Anonymous,"Paulist Ministry Centre, 830 Bathurst St, Toronto, ON     M5R 3G1","Annex, 95",416-588-6134,Compulsive overeaters with a desire to stop eating compulsively,Mutual help group modelled on 12 steps of Alcoholics Anonymous * no weigh-ins or diets * call or visit website for meeting times and locations,M5R 3G1
Regeneration Community Services,"2238 Dundas St W, Ste 307, Toronto, ON     M6R 3A9","Roncesvalles, 86",416-703-9645,Men and women 16 years and older with a history of long term mental health and/or addiction problems,"<b>Addiction Supportive Housing</b> -- housing support and case management for persons with severe addiction issues * Managed Alcohol Program -- 24 hour, high-support housing with harm reduction focus<br><br>

<b>Intensive Case Management Program</b> -- case management partnership program with Centre for Addiction and Mental Health and St Joseph's Health Centre Family Health Team (see separate entries) * support services * housing placement<br><br> 

<b>Mental Health Homelessness Initiatives Housing Program</b> -- high support housing * 4 locations * residential and personal care support -- services include meals, laundry, housekeeping, medication management<br><br>

<b>Residential Program</b> -- individualized, voluntary support including assessment, goal setting, skills teaching, resource exploration, linkages, advocacy<br><br>

<b>Step Up Housing</b> -- alternate level of care (ALC) program in partnership with Centre for Addiction and Mental Health * support services include meals, laundry, housekeeping, medication management",M6R 3A9
Renascent,"Wright Centre, 38 Isabella St, Toronto, ON     M4Y 1N1","Church-Yonge Corridor, 75",416-927-1202,"16 years or older, minimum 72 hours of sobriety, assessment","Alcoholism and drug addiction recovery programs * complete care -- 21 day primary care, relapse prevention aftercare, alumni care and family care, including children's and parenting programs * residential, outpatient and distant delivery * separate programs for men and women * immediate access * 12 step philosophy * workplace programs * home-like treatment settings",M4Y 1N1
Salvation Army,"Titan Islington Plaza, 1020 Islington Ave, Unit 9A, Toronto, ON     M8Z 6A4","Islington-City Centre West, 14",416-255-7070,"Adults 18 years and older with a mental health disorder, a history of addiction (including concurrent disorder) or previous experience as a mental health services consumer * must have been recently housed, living in precarious housing conditions, or have a history of sporadic housing, and who are willing to live and participate in a cooperative environment","Outreach agency * wrap around treatment services available to clients in their home or chosen community location * assessment, treatment and care plan development * assistance with housing and shelter * life skills development * medical, crisis and psychiatric support * food, clothing assistance * legal, financial, education and employment counselling * assistance with activities of daily living including personal care, meal preparation, grocery shopping * relationship building, leisure and recreation activities * spiritual counselling",M8Z 6A4
Salvation Army,"160 Jarvis St, Toronto, ON     M5B 2E1","Church-Yonge Corridor, 75",416-363-5496,Residential program -- men 18 years and older with concurrent addiction and mental health disorders * Community program -- men 18 years and older who are struggling with substance abuse or dependence,"<b>Residential Treatment Program</b> -- up to 14 weeks * life skills * symptom management * relapse prevention * psychiatric and medical support<br><br>

<b>Community Treatment Program</b> -- flexible group and individual treatment services in downtown Toronto and Scarborough",M5B 2E1
Salvation Army,"78 Admiral Rd, Toronto, ON     M5R 2L6","Annex, 95",416-921-0953,"Women 18 years and older who are alcohol or chemical dependent, including those using methadone","Residential and day treatment centre * assessment plus 9 week treatment program * 12 step program * optional spiritual component, chapel services * life skills * individual and group counselling * anger management * addiction education * conflict resolution * exercise/relaxation class * recreation activities * behaviour modification * aftercare * relapse prevention",M5R 2L6
Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-1153,"Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families","Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services<br><br>

In partnership with LOFT Community Services -- see separate entry",M3J 2E2
St Michael's Homes,"262 Gerrard St E, Toronto, ON     M5A 2G2","Moss Park, 73",416-926-8267,Men in recovery from alcohol or drug addiction * varies by program,"Short and long term supportive residential treatment * abstinence based * rehabilitative programs<br><br>

<b>Matt Talbot Houses</b> -- short and long term programs for men 50 years and older * capacity 49 * individualized care plan * client centred case management * relapse management * Phase One -- short term program, less than 1 year * Phase Two -- long term program, admission dependent on successful completion of Phase One<br><br>

<b>St Michael's Houses</b> -- 6 month residential treatment program for men 18-55 years * capacity 26 * includes community living, individual and group counselling, life skills, relaxation training, anger management * after care group",M5A 2G2
"University Health Network, Toronto Western Hospital","399 Bathurst St, Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Switchboard 416-603-5800 * Patient Inquiry 416-603-5801,NA,"Acute care hospital<br><br>
Areas of focus -- neural and sensory sciences * community and population health * musculoskeletal health and arthritis <br><br>
Artists health centre * asthma * cardiac and pulmonary rehab * Diabetes Education Centre * eye clinic * memory clinic * movement disorders clinic * sleep clinic * stroke clinic * Tourette's Clinic * tuberculosis clinic <br><br>
<b>Mental Health and Addictions Programs</b> -- addictions outpatient assessment, counselling and aftercare * acupuncture for addictions * withdrawal management (see separate listings) * psychiatric assessment and treatment * brief psychotherapy * urgent care assessment clinic * family support in Spanish, Italian and Portuguese * Asian Initiative in Mental Health (see separate listing) * Portuguese Mental Health and Addiction Services (see separate listing)",M5T 2S8
St Michael's Hospital,"Maxwell Meighen Centre, 135 Sherbourne St, 3rd Fl, Toronto, ON     M5A 2R5","Moss Park, 73",NA,"Residential program -- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * Community and Day Withdrawal Management -- men and women 16 years and older who are in withdrawal or in crisis regarding their substance use","Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management<br><br>

<b>Residential Program</b> -- capacity 17 * assessment * symptom management * counselling * referral to other services<br><br>

<b>Community Withdrawal Management</b> -- assessment, referral, treatment planning, education<br><br>

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues <br><br>

<b>Anchor Person Project</b> -- helps to set and meet realistic personal goals * case management including advocacy with law enforcement, courts and social service agencies * certified alcohol and drug addiction counsellors * peer support * life skills * facilitates assessment tools as required by Ministry of Health for access to addiction programs",M5A 2R5
St Michael's Hospital,"140 The Esplanade, Unit 3, Toronto, ON     M5A 4P5","Waterfront Communities-The Island, 77",Registered patients 416-864-6000 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M5A 4P5
"University Health Network, Toronto Western Hospital","16 Ossington Ave, Toronto, ON     M6J 2Y7","Trinity-Bellwoods, 81",NA,"Men 16 years and older * must be mobile, conscious, intoxicated or in withdrawal, no medical complications",Nonmedical alcohol and drug detoxification and informal counselling,M6J 2Y7
Ymca Of Greater Toronto,"Vanauley Street YMCA, 7 Vanauley St, Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",416-603-6366 ext 5,"Youth and young adults 14-24 years who use/abuse alcohol or other substances, including nicotine","Non-residential treatment program * assessment, individual counselling, crisis intervention, educational presentations, referral * outreach counselling * no emergency services * available at various YMCA locations",M5T 2V9
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 2nd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Intake 416-535-8501 ext 33985,"Aboriginal individuals 16 years and older, who are experiencing homelessness, substance use and mental health issues","Assessment and referrals * individual, couple and family counselling * cultural consultation and support * talking circles and group work * inpatient and outpatient treatment programs * traditional and Western healing interventions * training, consultation and capacity building",M6J 1H4
Toronto East General Hospital,"985 Danforth Ave, Toronto, ON     M4J 1M1","Blake-Jones, 69",Information 416-461-2010,"<b>Residential program </b>-- men 16 years and older in a state of intoxication, withdrawal from a substance or in crisis regarding their substance use * <b>Community Withdrawal Management </b>-- men and women 16 years and older who are under the influence of a substance and/or in withdrawal or in crisis regarding their substance use * <b>Day Withdrawal Management</b> -- men and women 16 years and older who are already abstaining or in withdrawal","Alcohol and drug detoxification * crisis care * assessment, referral and treatment planning * case management * psychosocial education and pre-treatment * continuing care * family support group<br> <br> 

<b>Residential Program</b> -- capacity 30 * assessment * symptom management * counselling * referral to other services<br> <br> 

<b>Community Withdrawal Management</b> -- alcohol and drug withdrawal management including visits into the community * assessment, referral and treatment planning * family education<br> <br> 

<b>Day Withdrawal Management Service</b> -- 3 week program * group sessions * life skills * mood management * post acute withdrawal issues * acupuncture  <br><br>

<b>Aboriginal Day Withdrawal Program</b> -- culturally appropriate treatment",M4J 1M1
Anishnawbe Health Toronto,"22 Vaughan Rd, Toronto, ON     M6G 2N1","Wychwood, 94",416-657-0379,Aboriginal ancestry,Mental health and addiction services based on Aboriginal culture and traditions * 20-week day program * assessment * counselling * support groups,M6G 2N1
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 4th Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,"Lesbian, gay, bisexual, transgender, transsexual, and intersex individuals 18 years and older, who are interested in quitting, cutting down, or gaining more awareness about their use of drugs and/or alcohol * open to both local and out-of-town clients","Assessment and referrals * confidential counselling * individual and group therapy * day and residential programs * weekly support groups -- single gender (lesbian and bisexual women only, or gay and bisexual men only) or co-ed * support for families and/or partners * couple counselling * relapse prevention * education including stress management, nutrition, recreation * concurrent disorder program including psychiatric consultation",M6J 1H4
St Michael's Hospital,"410 Sherbourne St, Ground Fl, Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Registered patients 416-864-3096 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M4X 1K2
St Michael's Hospital,"80 Bond St, Toronto, ON     M5B 1X2","Church-Yonge Corridor, 75",Registered patients 416-864-3011 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M5B 1X2
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,Women 18 years and older with moderate to severe alcohol and/or substance dependence and mild to moderate mental health challenges,"Addiction and concurrent disorder treatment services * 3 phase program -- support and stabilization group, intensive programming and continuing care group",M6J 1H4
Yonge Street Mission,"381 Yonge St, Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75",416-929-9614 ext 2238,"Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available",M5B 1S1
Society Of St Vincent De Paul,"88 Mulock Ave, Toronto, ON     M6N 3C6","Junction Area, 90",416-762-4195,Men 18 years and older,11 bed pre-treatment and post-detoxification transition house * average stay 3 weeks,M6N 3C6
St Michael's Hospital,"410 Sherbourne St, 4th Fl, Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Registered patients 416-867-3728 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M4X 1K2
"University Health Network, Toronto Western Hospital","892 Dundas St W, Toronto, ON     M6J 1W1","Trinity-Bellwoods, 81",NA,Women 16 years and older * under 16 years with parental consent,"Alcohol and drug detoxification * residential, day and community withdrawal management * case management * assessment and referral<br><br>

Continuing Care Group -- Friday 5 pm-7 pm<br><br>

Day program -- Monday-Friday 10 am-3 pm at Adelaide Resource Centre for Women, 67 Adelaide St E, 416-392-9281",M6J 1W1
Warden Woods Community Centre,"63 Mack Ave, Toronto, ON     M1L 1M5","Oakridge, 121",416-694-1138 ext 138,"Seniors, adults with disabilities, and caregivers * HIV/AIDS Education and IDU Outreach -- youth and newcomers","<b>Caregiver Support</b> -- call Melese Woldemariam ext 156 * for anyone providing ongoing care to an aging family member, friend, spouse or neighbour * support and education * links to community resources * advocacy * individual and group counselling <br><br> 

<b>Client Intervention and Assistance</b> -- call Colleen Phillips ext 136 * for adults 55 years and older, adults 18 years and older with physical disabilities * community case management for persons considered to be at risk in their homes * intake and psychosocial assessments * information and referral * crisis intervention * counselling * service coordination * ongoing monitoring<br><br> 

<b>Elderly Persons Centre</b> -- call Celia McDougall ext 129 * recreation programs including Wednesday Friendship Club, Friday Folk for developmentally delayed adults, IRIE group (Intergenerational Health Information and Education) for West Indian senior women * trips * ceramics * health programs include foot care, blood pressure and hearing clinics, touch therapy, Tai Chi * <b>Adult Day Service</b> -- Monday-Tuesday, Thursday 9 am-4 pm * integrated program for frail adults and persons with Alzheimer Disease and related dementia * recreation in small group setting * meals and snacks * transportation available<br><br>

<b>HIV/AIDS Education and IDU Outreach</b> -- call Solomon Barney ext 143 * prevention and education workshops or one-on-one outreach * harm reduction outreach, support, education and counselling to reduce HIV transmission among intravenous drug users<br><br>

<b>Home Support Services</b> -- call Andrea Watson ext 138 * congregate dining * grocery shopping * home help including light housekeeping and meal preparation * snow removal * security checks * medication reminders<br><br>

<b>Meals on Wheels</b> -- call Asha Raghavan ext 139, Monday- Friday 11:30 am-12:30 pm * hot meals delivered to seniors, disabled persons, persons with illness and persons recovering from medical procedures * includes hot, frozen, South Asian and Chinese meals * Good Food Box distribution -- see separate entry Food Share<br><br>

<b>Transportation</b> -- call Simone ext 134, Monday-Friday 8 am-5 pm * rides to medical and other appointments, shopping, Adult Day Service,  Warden Woods Community Centre",M1L 1M5
St Michael's Hospital,"St Michael's Health Centre, 61 Queen St E, 3rd Fl, Toronto, ON     M5C 2T2","Church-Yonge Corridor, 75",Registered patients North Team 416-867-7426 ; Registered patients South Team 416-867-7428 ; New patients intake 416-864-3076,NA,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,M5C 2T2
Society Of St Vincent De Paul,"240 Church St, Toronto, ON     M5B 1Z2","Church-Yonge Corridor, 75",416-364-5577 ext 225,Men and women recovering from alcohol or drug addiction,13 supportive community homes * total capacity 83,M5B 1Z2
Canadian Centre For Women's Education And Development,"2296 Eglinton Ave E, Unit 4, Toronto, ON     M1K 2M2","Ionview, 125",416-285-6881,"Low income women (including senior women), children and youth * focus on immigrant women and children","Case management * counselling for abused women and children * court accompaniment * support for young women with addictions * drop-in for newcomers (youth, women, seniors) * educational workshops * family and individual counselling * form filling including applications for subsidized housing * information and referral * mentoring for young women * outreach including young women and women with disabilities * seniors activities * youth programs * volunteer opportunities",M1K 2M2
Centre For Addiction And Mental Health,"The Carlos Fidani Family Building, 60 White Squirrel Way, 4th Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2,Individuals 18 years and older with alcohol and drug addiction problems,"Addiction assessment and treatment including day and residential programs * psychoeducation and relapse prevention<br> <br> 

<b>Brief Treatment Service</b> -- group or individual intervention to help people abstain or moderate their substance use to non-harmful levels * relapse prevention * nutritional counselling * stress management training * consultation</b><br><br>

<b>Family Service</b> -- treatment and support for anyone concerned with the substance use of someone else, who may or may not be in treatment at CAMH * individual and group formats * education and consultation * family and couple counselling available to CAMH clients and their families",M6J 1H4
Centre For Addiction And Mental Health,"Bell Gateway Building, 100 Stokes St, 3rd Fl, Toronto, ON     M6J 1H4","Niagara, 82",Access CAMH (Intake Assessment) 416-535-8501 ext 2 ; Inquiries 416-535-8501 ext 36019,NA,"Pharmacotherapy for substance dependence including alcohol, opioid and benzodiazepines * medical assessment * maintenance therapies (methadone and buprenorphine) * concomitant pain and addiction treatment * alcohol use relapse prevention medications * counselling and group therapy * urine drug testing * resource room -- food and housing support, employment support and skills groups * education and training for health professionals and students<br> <br> 

<b>Medical Ambulatory Withdrawal Management</b> -- outpatient alcohol and drug detoxification for individuals 18 years and older * also referrals for those requiring inpatient detoxification",M6J 1H4
